customer_id,name,contact_name,email,phone,address,region_id,customer_type,created_at
CUST0001,"Rodriguez, Figueroa and Sanchez",Brian Yang,fjohnson@hall.com,+1-386-379-4026,"51161 Abbott Rapids, Lindsaymouth, DE 50116",REG01,Hospital,2022-10-23
CUST0002,"Carter, Fuller and Mcclure",Corey Jones,tracie31@ramirez-reid.com,(553)419-2832,"835 Jeremy Bypass Suite 641, New Nancy, IL 86410",REG03,Hospital,2024-08-06
CUST0003,Wilkerson-Day,Charles Mcgee,zhurst@yahoo.com,287.101.2269,"784 Erin Crescent Suite 514, Mooretown, VA 35023",REG02,Hospital,2024-08-08
CUST0004,Romero Inc,Elizabeth Fowler,nathanielmartin@sellers.com,(430)391-1718x227,"USNS Baker, FPO AP 55962",REG01,Clinic,2023-05-18
CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16
CUST0006,Hopkins LLC,John Daniel,powellmatthew@wright.net,262.473.1781x080,"Unit 3267 Box 7360, DPO AE 50173",REG05,Pharmacy,2022-06-26
CUST0007,Baker-Bowers,Jay Bernard,jamesrobinson@gmail.com,001-805-009-7882,"19136 Shelly Port, New Brooke, CO 55449",REG01,Hospital,N/A
CUST0008,"Silva, Mills and Donovan",Mike Allen,emilyevans@yahoo.com,001-107-991-1838x42513,"8498 Elizabeth Plaza, Sarahville, DC 35165",REG01,Hospital,2022-12-19
CUST0009,Newton and Sons,Larry Robbins,william40@walters.com,5242786801,"059 Russell Canyon, Michaelton, MI 28036",REG02,Clinic,2025-05-17
CUST0010,Estrada LLC,Stacey Russell,,+1-232-260-2563x421,"3375 Hoover Well, East Andrew, MO 43526",REG05,Hospital,2023-08-29
CUST0011,Rasmussen LLC,Jordan Frazier,wilsontara@gmail.com,001-401-965-5698,"0608 Michael Cliff, Cindyville, ME 66970",REG05,Hospital,2023-10-16
