Sale Code,Sale Date,Quantity,Discount (%),Total Value (USD),Product Code,Product Name,Product Category,Product Launch Date,Product Price (USD),Product Active Flag,Customer Code,Customer Name,Contact Name,Customer Email,Customer Phone Number,Customer Address,Customer Region Code,Customer Type,Customer Creation Date,Rep Code,Rep Name,Rep Email,Rep Phone Number,Rep Birth Date,Rep Hire Date,Rep Status,Rep Region Code
SALE00001,2025-01-30,71,0.07,1179.07,PROD006,Evolve Real-Time Eyeballs,Antibiotic,2021-12-09,31.25,0,CUST0002,"Carter, Fuller and Mcclure",Corey Jones,tracie31@ramirez-reid.com,(553)419-2832,"835 Jeremy Bypass Suite 641, New Nancy, IL 86410",REG03,Hospital,2024-08-06,REP019,Courtney Sutton DVM,sullivannicholas@brown-smith.com,(591)803-3974x01489,1998-06-29,2021-03-05,Inactive,REG03
SALE00002,2025-01-10,30,0.02,253.92,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0046,Tyler Inc,Kenneth Mcdonald,jonesraymond@higgins.org,251-778-5289,"8018 Kevin Estates, Sarahbury, NC 37731",REG02,Hospital,2022-10-23,REP002,Timothy Pope,david86@yahoo.com,041-574-7338x4842,1974-06-11,2023-05-30,Active,REG04
SALE00003,2024-08-26,31,0.08,2478.53,PROD006,Evolve Real-Time Eyeballs,Antibiotic,2021-12-09,31.25,0,CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,UNSPECIFIED,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16,REP017,Nathan Freeman,combscharles@williams.com,3875099770,1974-10-02,2021-01-19,Inactive,REG01
SALE00004,2025-03-15,74,0.14,3944.64,PROD009,Monetize Visionary Relationships,Antibiotic,2020-01-24,195.82,1,CUST0009,Newton and Sons,Larry Robbins,william40@walters.com,5242786801,"059 Russell Canyon, Michaelton, MI 28036",REG02,Clinic,2025-05-17,REP019,Courtney Sutton DVM,sullivannicholas@brown-smith.com,(591)803-3974x01489,1998-06-29,2021-03-05,Inactive,REG03
SALE00005,2024-11-16,13,0.03,2212.15,PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,0,CUST0027,"Beltran, Lozano and Mcgee",Stephanie Parsons,jeffery39@byrd-le.com,+1-104-709-5214x5623,"842 Sloan Orchard Suite 517, East Karenbury, TX 95425",REG03,Clinic,2025-05-05,REP007,Jonathan Jacobson,fowlershelia@yahoo.com,(727)956-8783,1979-05-22,2022-05-09,Active,REG03
SALE00006,2024-08-26,94,0.02,3301.93,PROD007,Unleash B2C Architectures,Antiviral,2020-11-10,55.5,1,CUST0027,"Beltran, Lozano and Mcgee",Stephanie Parsons,jeffery39@byrd-le.com,+1-104-709-5214x5623,"842 Sloan Orchard Suite 517, East Karenbury, TX 95425",REG03,Clinic,2025-05-05,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00007,2024-08-14,52,0.22,4022.9,PROD011,Brand Customized Schemas,Antiviral,2024-03-11,110.26,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP002,Timothy Pope,david86@yahoo.com,041-574-7338x4842,1974-06-11,2023-05-30,Active,REG04
SALE00008,2024-10-04,25,0.16,786.89,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0016,Wells Inc,Claudia Lyons,catherinestuart@hotmail.com,241-904-9663,"49190 Patel Shore, Caseymouth, MT 64752",REG04,Pharmacy,2022-12-03,REP007,Jonathan Jacobson,fowlershelia@yahoo.com,(727)956-8783,1979-05-22,2022-05-09,Active,REG03
SALE00009,2024-10-16,32,0.26,469.39,PROD003,Enhance Synergistic Schemas,Antiviral,2021-11-10,169.92,1,CUST0018,Peters-Allen,Michael West,phillipsrichard@torres.com,885.685.5744x4313,"37498 Hooper Village, West Jeremy, ME 02355",REG02,Pharmacy,2024-09-29,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00010,2024-10-04,7,0.2,2748.88,PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,0,CUST0036,Dixon Inc,Cheyenne Parsons,joelthomas@gmail.com,(921)277-9979,"527 Taylor Roads Suite 490, Williamport, NV 05430",REG03,Pharmacy,2022-09-19,REP004,Amanda Huff,sharonhayden@yahoo.com,991-547-8872x8743,1965-02-08,2020-10-16,Inactive,REG02
SALE00012,2024-12-30,22,0.11,4928.01,PROD014,Cultivate Integrated Synergies,Vaccine,2020-06-09,180.93,0,CUST0026,"Maldonado, White and Thompson",Janet Vega,jesselittle@yahoo.com,074-821-7594x647,"7136 Andrews Squares, Andrewfurt, AL 74678",REG01,Clinic,2025-05-23,REP002,Timothy Pope,david86@yahoo.com,041-574-7338x4842,1974-06-11,2023-05-30,Active,REG04
SALE00013,2024-08-17,55,0.21,0.0,PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,0,CUST0030,Kramer PLC,Scott Thomas,UNSPECIFIED,(842)102-0539,"0268 Julie Mountains, Stricklandhaven, CT 59746",REG01,Hospital,2024-08-13,REP010,Chad May,victoria67@yahoo.com,+1-825-128-6823x00478,1969-12-08,2023-09-02,Active,REG01
SALE00014,2024-07-16,20,0.06,1166.73,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0036,Dixon Inc,Cheyenne Parsons,joelthomas@gmail.com,(921)277-9979,"527 Taylor Roads Suite 490, Williamport, NV 05430",REG03,Pharmacy,2022-09-19,REP016,Jason Hart,allentran@riley.com,001-378-547-7725,1990-04-28,2022-06-06,Active,REG05
